127.0.0.1 - - [28/Aug/2025:12:28:32 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:28:32 +0900] "GET /week1/hello.html HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:30:48 +0900] "GET /week1/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:30:52 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:30:59 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:00 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:00 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:01 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:01 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:01 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:02 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:31:02 +0900] "GET /week1/hello.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:50:22 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:50:41 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:55:37 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:58:57 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:59:16 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:59:30 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2025:12:59:46 +0900] "GET /week1/202444068_%EA%B9%80%EB%8F%84%EC%9C%A4.html HTTP/1.1" 200 217
